Time_s,Layer_1_Temperature_C,Layer_2_Temperature_C,Layer_3_Temperature_C,Layer_4_Temperature_C,Layer_5_Temperature_C,Layer_6_Temperature_C,Layer_7_Temperature_C,Layer_8_Temperature_C,Layer_9_Temperature_C,Layer_10_Temperature_C
23577.38869,72.14051277,72.25158522,72.3473455,72.46888851,72.63897801,72.84491242,73.05651167,73.24802484,73.40694101,73.40490556
23598.9995,72.12936579,72.24231054,72.33893645,72.45936717,72.62701479,72.83075397,73.04149436,73.23360513,73.39407968,73.39227793
23620.61031,72.11821881,72.23303587,72.33052741,72.44984583,72.61505157,72.81659551,73.02647704,73.21918542,73.38121834,73.3796503
23642.22111,72.10707183,72.22376119,72.32211837,72.4403245,72.60308836,72.80243706,73.01145973,73.2047657,73.368357,73.36702267
23663.83192,72.09592485,72.21448651,72.31370932,72.43080316,72.59112514,72.78827861,72.99644242,73.19034599,73.35549567,73.35439504
23685.44272,72.08477787,72.20521184,72.30530028,72.42128182,72.57916192,72.77412016,72.98142511,73.17592628,73.34263433,73.34176741
23707.05353,72.0736309,72.19593716,72.29689123,72.41176049,72.5671987,72.7599617,72.9664078,73.16150656,73.32977299,73.32913978
23728.66433,72.06248392,72.18666249,72.28848219,72.40223915,72.55523548,72.74580325,72.95139049,73.14708685,73.31691165,73.31651215
23750.27514,72.05133694,72.17738781,72.28007314,72.39271781,72.54327227,72.7316448,72.93637318,73.13266714,73.30405032,73.30388452
23771.88594,72.04018996,72.16811313,72.2716641,72.38319648,72.53130905,72.71748634,72.92135586,73.11824743,73.29118898,73.29125689
23793.49675,72.02904298,72.15883846,72.26325505,72.37367514,72.51934583,72.70332789,72.90633855,73.10382771,73.27832764,73.27862926
23815.10755,72.017896,72.14956378,72.25484601,72.3641538,72.50738261,72.68916944,72.89132124,73.089408,73.26546631,73.26600163
23836.71836,72.00674902,72.14028911,72.24643696,72.35463246,72.4954194,72.67501099,72.87630393,73.07498829,73.25260497,73.253374
23858.32916,71.99560204,72.13101443,72.23802792,72.34511113,72.48345618,72.66085253,72.86128662,73.06056857,73.23974363,73.24074637
23879.93997,71.98445506,72.12173976,72.22961887,72.33558979,72.47149296,72.64669408,72.84626931,73.04614886,73.22688229,73.22811874
23901.55078,71.97330809,72.11246508,72.22120983,72.32606845,72.45952974,72.63253563,72.831252,73.03172915,73.21402096,73.21549111
23923.16158,71.96216111,72.1031904,72.21280079,72.31654712,72.44756652,72.61837717,72.81623468,73.01730944,73.20115962,73.20286349
23944.77239,71.95101413,72.09391573,72.20439174,72.30702578,72.43560331,72.60421872,72.80121737,73.00288972,73.18829828,73.19023586
23966.38319,71.93986715,72.08464105,72.1959827,72.29750444,72.42364009,72.59006027,72.78620006,72.98847001,73.17543695,73.17760823
23987.994,71.92872017,72.07536638,72.18757365,72.28798311,72.41167687,72.57590182,72.77118275,72.9740503,73.16257561,73.1649806
24009.6048,71.91631373,72.06401192,72.17753639,72.2785792,72.40166938,72.56441036,72.75817971,72.96020543,73.14880161,73.15179027
24031.21561,71.90372248,72.05235229,72.1672602,72.26919251,72.39194885,72.55331025,72.74547223,72.94644492,73.13489368,73.13851737
24052.82641,71.89113124,72.04069266,72.15698402,72.25980583,72.38222833,72.54221013,72.73276475,72.93268441,73.12098576,73.12524447
24074.43722,71.87853999,72.02903302,72.14670784,72.25041915,72.3725078,72.53111002,72.72005727,72.9189239,73.10707784,73.11197158
24096.04802,71.86594874,72.01737339,72.13643165,72.24103247,72.36278728,72.52000991,72.70734979,72.90516339,73.09316992,73.09869868
24117.65883,71.85335749,72.00571376,72.12615547,72.23164579,72.35306676,72.50890979,72.69464232,72.89140288,73.07926199,73.08542578
24139.26963,71.84076625,71.99405412,72.11587929,72.22225911,72.34334623,72.49780968,72.68193484,72.87764236,73.06535407,73.07215288
24160.88044,71.828175,71.98239449,72.10560311,72.21287243,72.33362571,72.48670956,72.66922736,72.86388185,73.05144615,73.05887999
24182.49125,71.81558375,71.97073486,72.09532692,72.20348575,72.32390519,72.47560945,72.65651988,72.85012134,73.03753823,73.04560709
24204.10205,71.80299251,71.95907523,72.08505074,72.19409907,72.31418466,72.46450934,72.6438124,72.83636083,73.0236303,73.03233419
24225.71286,71.79040126,71.94741559,72.07477456,72.18471239,72.30446414,72.45340922,72.63110492,72.82260032,73.00972238,73.01906129
24247.32366,71.77781001,71.93575596,72.06449838,72.17532571,72.29474362,72.44230911,72.61839745,72.80883981,72.99581446,73.0057884
24268.93447,71.76521876,71.92409633,72.05422219,72.16593903,72.28502309,72.43120899,72.60568997,72.7950793,72.98190654,72.9925155
24290.54527,71.75262752,71.9124367,72.04394601,72.15655234,72.27530257,72.42010888,72.59298249,72.78131878,72.96799861,72.9792426
24312.15608,71.74003627,71.90077706,72.03366983,72.14716566,72.26558204,72.40900877,72.58027501,72.76755827,72.95409069,72.96596971
24333.76688,71.72744502,71.88911743,72.02339364,72.13777898,72.25586152,72.39790865,72.56756753,72.75379776,72.94018277,72.95269681
24355.37769,71.71485378,71.8774578,72.01311746,72.1283923,72.246141,72.38680854,72.55486005,72.74003725,72.92627485,72.93942391
24376.98849,71.70226253,71.86579817,72.00284128,72.11900562,72.23642047,72.37570842,72.54215258,72.72627674,72.91236692,72.92615101
24398.5993,71.68967128,71.85413853,71.9925651,72.10961894,72.22669995,72.36460831,72.5294451,72.71251623,72.898459,72.91287812
24420.21011,71.67708003,71.8424789,71.98228891,72.10023226,72.21697943,72.3535082,72.51673762,72.69875571,72.88455108,72.89960522
24441.82091,71.66448879,71.83081927,71.97201273,72.09084558,72.2072589,72.34240808,72.50403014,72.6849952,72.87064316,72.88633232
24463.43172,71.65189754,71.81915964,71.96173655,72.0814589,72.19753838,72.33130797,72.49132266,72.67123469,72.85673523,72.87305942
24485.04252,71.63930629,71.8075,71.95146037,72.07207222,72.18781786,72.32020785,72.47861518,72.65747418,72.84282731,72.85978653
24506.65333,71.62671505,71.79584037,71.94118418,72.06268554,72.17809733,72.30910774,72.46590771,72.64371367,72.82891939,72.84651363
24528.26413,71.6141238,71.78418074,71.930908,72.05329886,72.16837681,72.29800763,72.45320023,72.62995316,72.81501147,72.83324073
24549.87494,71.60153255,71.77252111,71.92063182,72.04391217,72.15865628,72.28690751,72.44049275,72.61619264,72.80110354,72.81996784
24571.48574,71.5889413,71.76086147,71.91035564,72.03452549,72.14893576,72.2758074,72.42778527,72.60243213,72.78719562,72.80669494
24593.09655,71.57635006,71.74920184,71.90007945,72.02513881,72.13921524,72.26470728,72.41507779,72.58867162,72.7732877,72.79342204
24614.70735,71.56375881,71.73754221,71.88980327,72.01575213,72.12949471,72.25360717,72.40237031,72.57491111,72.75937978,72.78014914
24636.31816,71.55116756,71.72588258,71.87952709,72.00636545,72.11977419,72.24250706,72.38966284,72.5611506,72.74547185,72.76687625
24657.92896,71.53857632,71.71422294,71.8692509,71.99697877,72.11005367,72.23140694,72.37695536,72.54739009,72.73156393,72.75360335
24679.53977,71.52598507,71.70256331,71.85897472,71.98759209,72.10033314,72.22030683,72.36424788,72.53362958,72.71765601,72.74033045
24701.15058,71.51352711,71.69061341,71.84806746,71.97761392,72.09047875,72.2096544,72.35234349,72.52064666,72.70418791,72.72733296
24722.76138,71.50128604,71.67819121,71.83613332,71.96667332,72.08040653,72.19973043,72.34174585,72.508929,72.69143547,72.71478358
24744.37219,71.48904496,71.66576902,71.82419919,71.95573271,72.07033431,72.18980646,72.33114821,72.49721134,72.67868304,72.70223421
